SubjectID,Group,Phase,TrialNumber,TargetSide,ResponseSide,IsCorrect,ReactionTime_ms,EMSOffset_ms,EMSFireTiming_ms,AgencyYes,Timestamp
P028,Voluntary,Baseline,1,Right,Left,0,207.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,2,Right,Left,0,220.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,3,Left,Left,1,202.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,4,Left,Left,1,245.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,5,Left,Left,1,230.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,6,Right,Right,1,200.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,7,Left,Left,1,241.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,8,Left,Right,0,222.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,9,Left,Left,1,243.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,10,Right,Right,1,221.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,11,Right,Right,1,229.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,12,Right,Right,1,200.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,13,Left,Left,1,374.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,14,Right,Left,0,224.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,15,Left,Right,0,269.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,16,Left,Left,1,206.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,17,Right,Left,0,201.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,18,Right,Right,1,293.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,19,Right,Right,1,218.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,20,Left,Left,1,235.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,21,Left,Left,1,272.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
P028,Voluntary,Baseline,22,Right,Right,1,232.17,0.0,0.0,0,2026-04-26T15:58:30.771888+00:00
