SubjectID,Group,Phase,TrialNumber,TargetSide,ResponseSide,IsCorrect,ReactionTime_ms,EMSOffset_ms,EMSFireTiming_ms,AgencyYes,Timestamp
P015,Voluntary,Baseline,1,Right,Right,1,1099.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,2,Left,Left,1,809.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,3,Right,Right,1,554.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,4,Left,Left,1,799.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,5,Right,Right,1,599.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,6,Left,Left,1,1169.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,7,Right,Right,1,974.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,8,Left,Right,0,659.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,9,Right,Right,1,589.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,10,Left,Left,1,664.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,11,Left,Left,1,514.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,12,Right,Right,1,504.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,13,Left,Left,1,659.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,14,Left,Left,1,449.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,15,Left,Right,0,1169.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,16,Left,Left,1,519.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,17,Left,Left,1,584.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,18,Left,Right,0,2034.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,19,Right,Right,1,679.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,20,Right,Right,1,709.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,21,Left,Left,1,1479.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,22,Left,Left,1,444.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,23,Left,Left,1,1119.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,24,Right,Right,1,1114.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,25,Left,Left,1,1049.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,26,Right,Right,1,1099.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,27,Right,Right,1,1514.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,28,Right,Right,1,1604.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,29,Left,Left,1,1309.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,30,Left,Left,1,854.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,31,Right,Right,1,434.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,32,Left,Left,1,879.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
P015,Voluntary,Baseline,33,Right,Right,1,1714.169,0.0,0.0,0,2026-04-24T15:58:26.827581+00:00
